elapsed_seconds,latitude,longitude
431,44.070300000,5.779116667
435,44.068916667,5.778166667
439,44.067316667,5.777583333
443,44.065400000,5.777366667
447,44.063550000,5.777583333
451,44.061750000,5.778350000
455,44.060050000,5.779516667
459,44.058516667,5.781083333
463,44.057200000,5.782900000
467,44.056166667,5.784933333
471,44.055416667,5.787016667
475,44.054966667,5.789050000
479,44.054766667,5.790966667
483,44.054783333,5.792733333
487,44.055000000,5.794333333
491,44.055400000,5.795683333
495,44.055933333,5.796683333
499,44.056566667,5.797250000
504,44.057233333,5.797366667
508,44.057816667,5.797050000
512,44.058250000,5.796366667
516,44.058533333,5.795383333
520,44.058700000,5.794250000
524,44.058783333,5.793033333
528,44.058716667,5.791750000
532,44.058550000,5.790433333
536,44.058350000,5.789066667
540,44.058116667,5.787700000
544,44.057950000,5.786383333
548,44.057916667,5.785100000
552,44.058016667,5.783916667
556,44.058216667,5.782816667
560,44.058483333,5.781766667
564,44.058800000,5.780600000
568,44.059083333,5.779516667
572,44.059450000,5.778450000
576,44.060050000,5.777733333
580,44.060850000,5.777533333
584,44.061683333,5.778000000
588,44.062433333,5.779033333
592,44.062983333,5.780533333
596,44.063300000,5.782366667
600,44.063316667,5.784416667
604,44.062933333,5.786600000
609,44.061933333,5.789066667
613,44.060750000,5.790966667
617,44.059300000,5.792583333
621,44.057633333,5.793750000
625,44.055616667,5.794500000
629,44.053833333,5.794600000
633,44.052166667,5.794150000
637,44.050750000,5.793233333
641,44.049650000,5.792000000
645,44.048883333,5.790583333
649,44.048500000,5.789200000
653,44.048483333,5.788000000
657,44.048783333,5.787133333
661,44.049200000,5.786416667
665,44.049633333,5.785666667
669,44.050133333,5.785016667
673,44.050666667,5.784350000
677,44.051233333,5.783716667
681,44.051816667,5.783100000
686,44.052500000,5.782616667
690,44.053216667,5.782500000
694,44.053983333,5.782800000
698,44.054766667,5.783500000
702,44.055450000,5.784633333
706,44.055933333,5.786133333
710,44.056283333,5.787783333
714,44.056550000,5.789533333
718,44.056733333,5.791433333
722,44.056866667,5.793400000
726,44.056933333,5.795366667
730,44.056983333,5.797366667
734,44.057066667,5.799400000
738,44.057150000,5.801400000
742,44.057283333,5.803383333
746,44.057483333,5.805400000
750,44.057716667,5.807116667
754,44.058033333,5.808816667
758,44.058450000,5.810433333
762,44.058933333,5.811933333
766,44.059450000,5.813350000
770,44.060066667,5.814500000
774,44.060766667,5.815466667
778,44.061500000,5.816400000
782,44.062250000,5.817283333
786,44.063016667,5.818183333
790,44.063783333,5.819066667
794,44.064516667,5.819950000
798,44.065233333,5.820916667
802,44.065933333,5.821833333
806,44.066716667,5.822866667
810,44.067416667,5.823800000
814,44.068133333,5.824700000
818,44.068866667,5.825466667
822,44.069633333,5.826116667
826,44.070416667,5.826850000
830,44.071166667,5.827683333
834,44.071900000,5.828566667
838,44.072650000,5.829433333
842,44.073383333,5.830333333
846,44.074100000,5.831233333
850,44.074816667,5.832100000
854,44.075533333,5.832983333
858,44.076266667,5.833866667
862,44.076983333,5.834766667
866,44.077750000,5.835750000
870,44.078466667,5.836666667
874,44.079183333,5.837600000
878,44.079933333,5.838516667
882,44.080766667,5.839466667
886,44.081766667,5.840416667
890,44.082983333,5.841366667
894,44.084433333,5.842216667
898,44.086033333,5.843000000
902,44.087700000,5.843733333
